file,line,col,value,context,severity,module
qtrader/features/registry.py,141,21,14,magic_number,LOW,features
qtrader/features/registry.py,141,31,12,magic_number,LOW,features
qtrader/features/registry.py,141,35,26,magic_number,LOW,features
qtrader/features/registry.py,141,39,9,magic_number,LOW,features
qtrader/features/registry.py,141,58,20,magic_number,LOW,features
qtrader/features/registry.py,142,23,20,magic_number,LOW,features
qtrader/features/registry.py,142,32,10,magic_number,LOW,features
qtrader/features/registry.py,143,51,20,magic_number,LOW,features
qtrader/features/registry.py,143,67,13,magic_number,LOW,features
qtrader/features/registry.py,144,45,20,magic_number,LOW,features
qtrader/features/factors/lagged.py,44,82,2.718281828,magic_number,LOW,features
qtrader/features/factors/lagged.py,62,37,20,magic_number,LOW,features
qtrader/features/factors/lagged.py,95,37,20,magic_number,LOW,features
qtrader/features/factors/lagged.py,95,65,252,magic_number,LOW,features
qtrader/features/factors/lagged.py,111,43,2.718281828,magic_number,LOW,features
qtrader/features/factors/lagged.py,129,37,60,magic_number,LOW,features
qtrader/features/factors/lagged.py,144,43,2.718281828,magic_number,LOW,features
qtrader/features/factors/technical.py,26,37,14,magic_number,LOW,features
qtrader/features/factors/technical.py,50,49,100.0,magic_number,LOW,features
qtrader/features/factors/technical.py,51,12,100.0,magic_number,LOW,features
qtrader/features/factors/technical.py,51,21,100.0,magic_number,LOW,features
qtrader/features/factors/technical.py,74,37,14,magic_number,LOW,features
qtrader/features/factors/technical.py,115,35,12,magic_number,LOW,features
qtrader/features/factors/technical.py,115,51,26,magic_number,LOW,features
qtrader/features/factors/technical.py,115,69,9,magic_number,LOW,features
qtrader/features/factors/technical.py,159,37,20,magic_number,LOW,features
qtrader/features/factors/technical.py,204,37,20,magic_number,LOW,features
qtrader/features/factors/technical.py,219,82,2.718281828,magic_number,LOW,features
qtrader/features/factors/technical.py,233,37,10,magic_number,LOW,features
qtrader/features/factors/volume.py,70,66,3.0,magic_number,LOW,features
qtrader/features/factors/volume.py,124,37,20,magic_number,LOW,features
qtrader/features/factors/volume.py,157,48,13,magic_number,LOW,features
qtrader/features/statistical/transforms.py,148,19,0.01,magic_number,LOW,features
qtrader/features/statistical/transforms.py,149,19,0.99,magic_number,LOW,features
qtrader/features/technical/indicators.py,9,37,14,magic_number,LOW,features
qtrader/features/technical/indicators.py,26,14,100,magic_number,LOW,features
qtrader/features/technical/indicators.py,26,21,100,magic_number,LOW,features
qtrader/features/technical/indicators.py,47,37,20,magic_number,LOW,features
qtrader/meta/genetic.py,29,31,20,magic_number,LOW,meta
qtrader/meta/genetic.py,30,31,0.2,magic_number,LOW,meta
qtrader/meta/genetic.py,31,31,0.2,magic_number,LOW,meta
qtrader/meta/genetic.py,92,20,3,magic_number,LOW,meta
qtrader/meta/genetic.py,95,30,2,magic_number,LOW,meta
qtrader/meta/genetic.py,95,85,2,magic_number,LOW,meta
qtrader/meta/genetic.py,113,29,0.33,magic_number,LOW,meta
qtrader/meta/genetic.py,161,25,0.8,magic_number,LOW,meta
qtrader/meta/genetic.py,171,65,2,magic_number,LOW,meta
qtrader/meta/self_diagnostic.py,26,39,0.3,magic_number,LOW,meta
qtrader/meta/self_diagnostic.py,47,24,10,magic_number,LOW,meta
qtrader/meta/self_diagnostic.py,65,37,5000.0,magic_number,LOW,meta
qtrader/meta/memory.py,58,46,10,magic_number,LOW,meta
qtrader/meta/governance_engine.py,32,31,10,magic_number,LOW,meta
qtrader/meta/governance_engine.py,34,43,0.7,magic_number,LOW,meta
qtrader/meta/governance_engine.py,118,26,2,magic_number,LOW,meta
qtrader/meta/risk_filter.py,22,40,0.15,magic_number,HIGH,meta
qtrader/meta/risk_filter.py,23,31,0.03,magic_number,HIGH,meta
qtrader/meta/risk_filter.py,53,30,0.1,magic_number,HIGH,meta
qtrader/meta/capital_allocator.py,24,34,0.05,magic_number,LOW,meta
qtrader/meta/capital_allocator.py,26,33,1e-06,magic_number,LOW,meta
qtrader/meta/capital_allocator.py,27,30,100,magic_number,LOW,meta
qtrader/meta/capital_allocator.py,84,28,1e-09,magic_number,LOW,meta
qtrader/meta/capital_allocator.py,124,27,1e-09,magic_number,LOW,meta
qtrader/meta/capital_allocator.py,136,46,4,magic_number,LOW,meta
qtrader/meta/capital_allocator.py,137,40,0.1,magic_number,LOW,meta
qtrader/meta/deployment_pipeline.py,68,44,4,magic_number,LOW,meta
qtrader/meta/deployment_pipeline.py,79,55,4,magic_number,LOW,meta
qtrader/meta/multi_agent.py,19,46,1000000.0,magic_number,LOW,meta
qtrader/meta/multi_agent.py,31,32,0.02,magic_number,LOW,meta
qtrader/meta/multi_agent.py,52,18,1e-12,magic_number,LOW,meta
qtrader/meta/strategy_generator.py,37,47,2,magic_number,MEDIUM,meta
qtrader/meta/strategy_generator.py,54,20,0.3,magic_number,MEDIUM,meta
qtrader/meta/strategy_generator.py,55,21,0.3,magic_number,MEDIUM,meta
qtrader/meta/strategy_generator.py,71,42,10,magic_number,MEDIUM,meta
qtrader/meta/strategy_generator.py,71,63,2,magic_number,MEDIUM,meta
qtrader/meta/strategy_generator.py,85,21,1000,magic_number,MEDIUM,meta
qtrader/meta/audit_logger.py,107,38,1000000,magic_number,LOW,meta
qtrader/meta/research_loop.py,49,57,1.5,magic_number,LOW,meta
qtrader/meta/research_loop.py,72,22,1.8,magic_number,LOW,meta
qtrader/meta/research_loop.py,73,18,0.05,magic_number,LOW,meta
qtrader/meta/research_loop.py,74,24,0.1,magic_number,LOW,meta
qtrader/meta/orchestrator.py,41,18,1e-12,magic_number,LOW,meta
qtrader/meta/approval_system.py,37,28,1.5,magic_number,LOW,meta
qtrader/meta/approval_system.py,38,24,0.15,magic_number,LOW,meta
qtrader/meta/approval_system.py,40,36,2.0,magic_number,LOW,meta
qtrader/meta/approval_system.py,61,25,0.5,magic_number,LOW,meta
qtrader/meta/approval_system.py,62,24,0.5,magic_number,LOW,meta
qtrader/meta/approval_system.py,63,20,2.0,magic_number,LOW,meta
qtrader/meta/approval_system.py,64,25,0.3,magic_number,LOW,meta
qtrader/meta/approval_system.py,86,32,252,magic_number,LOW,meta
qtrader/meta/approval_system.py,86,37,0.5,magic_number,LOW,meta
qtrader/meta/approval_system.py,87,53,1e-06,magic_number,LOW,meta
qtrader/meta/approval_system.py,124,88,2,magic_number,LOW,meta
qtrader/meta/approval_system.py,132,34,2,magic_number,LOW,meta
qtrader/meta/approval_system.py,145,53,4,magic_number,LOW,meta
qtrader/meta/approval_system.py,146,75,2,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,34,33,7,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,35,34,10.0,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,36,31,0.95,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,37,35,0.5,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,114,38,2,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,125,34,2,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,145,67,4,magic_number,LOW,meta
qtrader/meta/shadow_enforcer.py,146,61,2,magic_number,LOW,meta
qtrader/meta/self_evolution.py,25,31,20,magic_number,LOW,meta
qtrader/meta/self_evolution.py,26,31,0.1,magic_number,LOW,meta
