file,line,col,category,source,severity,is_silent
qtrader/ml/regime_detector.py,448,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/regime.py,13,0,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/regime.py,13,0,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/registry.py,11,0,SILENT_FAILURE,"Name(id='ImportError', ctx=Load())",MEDIUM,True
qtrader/ml/registry.py,31,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/registry.py,102,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/registry.py,102,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/__init__.py,20,0,SILENT_FAILURE,"Tuple(elts=[Name(id='ImportError', ctx=Load()), Name(id='RuntimeError', ctx=Load())], ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,27,0,SILENT_FAILURE,"Name(id='ImportError', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,104,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,104,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,147,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,200,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,200,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,227,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,227,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/mlflow_manager.py,268,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,328,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,377,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,507,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,532,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,579,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,604,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,631,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/mlflow_manager.py,663,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/meta_online.py,254,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/autonomous.py,47,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/autonomous.py,90,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/autonomous.py,90,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/hmm_smoother.py,11,0,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/hmm_smoother.py,11,0,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
